"id","member_id","loan_amnt","funded_amnt","term","int_rate","installment","grade","sub_grade","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","purpose","addr_state","dti","earliest_cr_line","out_prncp","total_pymnt","last_pymnt_d","last_pymnt_amnt","application_type","recoveries"
57864668,61617465,3450.0,3450.0, 36 months,16.55,122.24,D,D2,"1 year",RENT,60000.0,Not Verified,"1/8/2015",Current,debt_consolidation,IL,11.2,Feb-07,3145.13,485.79,Dec-15,122.24,INDIVIDUAL,0
32108656,34711865,16000.0,16000.0, 36 months,7.69,499.1,A,A4,"4 years",MORTGAGE,160000.0,Source Verified,"1/10/2014",Current,credit_card,NY,14.96,Jul-97,10210.77,6973.73,Dec-15,499.1,INDIVIDUAL,0
33160206,35803434,8000.0,8000.0, 36 months,9.17,255.04,B,B1,"5 years",MORTGAGE,35675.0,Verified,"1/10/2014",Current,debt_consolidation,IL,29.68,Dec-02,5146.26,3562.41,Jan-16,255.04,INDIVIDUAL,0
64038020,68468765,32000.0,32000.0, 36 months,7.26,991.88,A,A4,"",RENT,80000.0,Verified,"1/11/2015",Current,debt_consolidation,FL,6.03,May-97,30398.61,1970.85,Jan-16,991.88,INDIVIDUAL,0
60176199,64152945,10200.0,10200.0, 60 months,18.25,260.41,E,E1,"4 years",RENT,42000.0,Source Verified,"1/9/2015",Current,debt_consolidation,SC,35.29,Nov-98,9879.32,770.89,Dec-15,260.41,INDIVIDUAL,0
43409978,46436715,35000.0,35000.0, 36 months,9.99,1129.19,B,B3,"5 years",MORTGAGE,70000.0,Verified,"1/4/2015",Current,credit_card,WI,33.28,Jul-99,27203.63,10143.29,Jan-16,1129.19,INDIVIDUAL,0
59240710,63128477,35000.0,35000.0, 60 months,18.55,899.28,E,E2,"8 years",RENT,95000.0,Verified,"1/9/2015",Current,credit_card,MO,20.29,Jun-02,33533.48,3561.05,Jan-16,899.28,INDIVIDUAL,0
17595604,19728053,17500.0,17500.0, 60 months,19.52,458.99,E,E2,"10+ years",MORTGAGE,208000.0,Not Verified,"1/6/2014",Current,home_improvement,VA,5.69,Jul-00,13655.21,8720.81,Jan-16,458.99,INDIVIDUAL,0
5648373,7030717,10000.0,10000.0, 36 months,19.05,366.82,D,D4,"10+ years",MORTGAGE,55000.0,Not Verified,"1/6/2013",Charged Off,debt_consolidation,OH,17.69,May-86,0.0,7961.29,Feb-15,366.82,INDIVIDUAL,994.91
67347167,72148935,10000.0,10000.0, 36 months,7.91,312.95,A,A5,"10+ years",MORTGAGE,85000.0,Not Verified,"1/12/2015",Issued,home_improvement,FL,10.77,Jan-07,10000.0,0.0,"",0.0,INDIVIDUAL,0
65794705,70427493,10000.0,10000.0, 36 months,9.17,318.79,B,B2,"10+ years",MORTGAGE,62044.0,Source Verified,"1/11/2015",Current,credit_card,MN,15.38,Nov-00,9757.63,313.7,Dec-15,318.79,INDIVIDUAL,0
613210,786225,15000.0,15000.0, 60 months,16.69,370.3,E,E3,"4 years",RENT,30000.0,Source Verified,"1/11/2010",Fully Paid,debt_consolidation,NY,15.88,Feb-02,0.0,16787.9,Sep-11,13838.98,INDIVIDUAL,0
16323197,18425609,7200.0,7200.0, 36 months,14.99,249.56,C,C5,"10+ years",MORTGAGE,55000.0,Not Verified,"1/5/2014",Current,debt_consolidation,TX,25.94,Jul-99,3800.87,4741.64,Dec-15,249.56,INDIVIDUAL,0
1412759,1662633,6000.0,6000.0, 36 months,10.16,194.06,B,B1,< 1 year,MORTGAGE,60000.0,Not Verified,"1/7/2012",Charged Off,home_improvement,TX,4.1,Nov-00,0.0,713.52,Oct-12,194.06,INDIVIDUAL,327.44
48191684,51411419,15000.0,15000.0, 36 months,6.39,458.99,A,A2,"10+ years",RENT,105000.0,Not Verified,"1/5/2015",Current,debt_consolidation,AK,10.88,Feb-01,12303.43,3231.56,Dec-15,458.99,INDIVIDUAL,0
12707186,14719348,12000.0,12000.0, 36 months,8.9,381.04,A,A5,"2 years",MORTGAGE,69000.0,Verified,"1/3/2014",Current,debt_consolidation,TX,32.75,Jul-99,5049.15,8382.88,Jan-16,381.04,INDIVIDUAL,0
1174387,1416016,20675.0,20675.0, 60 months,12.12,461.16,B,B3,"8 years",RENT,42000.0,Verified,"1/3/2012",Current,credit_card,FL,27.49,Jun-76,5523.76,21659.31,Jan-16,461.16,INDIVIDUAL,0
38516904,41310735,32500.0,32500.0, 36 months,25.57,1302.02,F,F5,"10+ years",RENT,65000.0,Verified,"1/1/2015",Current,credit_card,VA,16.47,Dec-10,25033.53,14229.88,Dec-15,1302.02,INDIVIDUAL,0
57528650,61281381,13200.0,13200.0, 36 months,13.33,446.87,C,C3,"8 years",MORTGAGE,55000.0,Source Verified,"1/8/2015",Current,debt_consolidation,WI,21.8,Nov-97,11665.08,2224.57,Jan-16,446.87,INDIVIDUAL,0
60155148,64119860,10300.0,10300.0, 60 months,15.61,248.35,D,D1,"10+ years",MORTGAGE,50000.0,Source Verified,"1/9/2015",Current,credit_card,MA,34.97,Nov-92,9833.54,975.54,Jan-16,248.35,INDIVIDUAL,0
9845186,11697263,18000.0,18000.0, 36 months,9.67,578.03,B,B1,"",MORTGAGE,60000.0,Verified,"1/12/2013",Fully Paid,debt_consolidation,TX,19.58,May-97,0.0,20298.21324,Sep-15,8739.17,INDIVIDUAL,0
65283116,69869856,20000.0,20000.0, 36 months,5.32,602.3,A,A1,"10+ years",MORTGAGE,200000.0,Source Verified,"1/11/2015",Current,debt_consolidation,NJ,8.81,May-82,18970.46,1198.69,Jan-16,602.3,INDIVIDUAL,0
34403562,37066938,9800.0,9800.0, 36 months,12.39,327.33,C,C1,"3 years",MORTGAGE,42000.0,Verified,"1/11/2014",Current,debt_consolidation,IL,24.71,Dec-99,6412.46,4575.87,Jan-16,327.33,INDIVIDUAL,0
5764648,7196800,23500.0,23500.0, 36 months,15.88,824.8,C,C4,"10+ years",RENT,100000.0,Verified,"1/8/2013",Current,debt_consolidation,MI,23.7,Nov-93,5481.8,23915.9,Jan-16,824.8,INDIVIDUAL,0
1409390,1658916,1800.0,1800.0, 36 months,12.12,59.89,B,B3,< 1 year,RENT,20000.0,Not Verified,"1/7/2012",Fully Paid,other,CA,16.98,Mar-07,0.0,2155.591435,Jul-15,61.15,INDIVIDUAL,0
48061335,51301093,8400.0,8400.0, 36 months,12.69,281.78,C,C2,"2 years",RENT,42000.0,Source Verified,"1/5/2015",Current,debt_consolidation,TX,23.4,Mar-05,6798.04,2248.32,Jan-16,281.78,INDIVIDUAL,0
41740844,44687597,18000.0,18000.0, 60 months,18.84,465.35,E,E2,"2 years",RENT,36000.0,Source Verified,"1/3/2015",Current,debt_consolidation,AL,30.2,Sep-05,16037.83,4634.66,Jan-16,465.35,INDIVIDUAL,0
